Full_Name,position,year,social_followers,social_source,depth_role,role_mult,base_nil,predicted_nil,confidence,predicted_nil_fmt
Duce Robinson,WR,3,16000,verified,starter,1.45,304300.0,1200000.0,high,"$1,200,000"
Mandrell Desir,DL,1,3500,verified,depth,1.0,225300.0,810000.0,high,"$810,000"
Squirrel White,WR,4,30700,verified,starter,1.45,375100.0,543900.0,high,"$543,900"
Tommy Castellanos,QB,4,107000,verified,starter,1.45,375000.0,543800.0,high,"$543,800"
Elijah Herring,DL,4,14000,imputed,starter,1.45,314400.0,455900.0,estimated,"$455,900"
Darrell Jackson Jr.,DL,4,14000,imputed,starter,1.45,314400.0,455900.0,estimated,"$455,900"
Roydell Williams,RB,4,20500,verified,starter,1.45,314400.0,455900.0,high,"$455,900"
Luke Petitbon,OL,4,10000,verified,starter,1.45,304800.0,442000.0,high,"$442,000"
Adrian Medley,OL,4,10000,imputed,starter,1.45,304800.0,442000.0,estimated,"$442,000"
Micah Pettus,OL,4,10000,imputed,starter,1.45,304800.0,442000.0,estimated,"$442,000"
Jeremiah Wilson,DB,4,12000,imputed,starter,1.45,304800.0,442000.0,estimated,"$442,000"
Gunnar Hansen,OL,4,10000,verified,starter,1.45,304800.0,442000.0,high,"$442,000"
Gavin Blackwell,WR,4,22000,verified,backup,1.15,375100.0,431400.0,high,"$431,400"
Omar Graham Jr.,DL,3,10000,verified,starter,1.45,290400.0,421100.0,high,"$421,100"
Justin Cryer,DL,3,10000,imputed,starter,1.45,290400.0,421100.0,estimated,"$421,100"
James Williams,DL,3,10000,imputed,starter,1.45,290400.0,421100.0,estimated,"$421,100"
Jayson Jenkins,DL,3,10000,imputed,starter,1.45,290400.0,421100.0,estimated,"$421,100"
Earl Little Jr.,DB,3,42800,verified,starter,1.45,275400.0,399300.0,high,"$399,300"
Ashlynd Barker,DB,3,9000,imputed,starter,1.45,275400.0,399300.0,estimated,"$399,300"
Micahi Danzy,WR,1,4500,verified,depth,1.0,240100.0,386000.0,high,"$386,000"
Randy Pittman Jr.,TE,3,8000,imputed,starter,1.45,265100.0,384400.0,estimated,"$384,400"
Stefon Thompson,DL,4,14000,imputed,backup,1.15,314400.0,361600.0,estimated,"$361,600"
Jaden Jones,DL,4,14000,imputed,backup,1.15,314400.0,361600.0,estimated,"$361,600"
Jacob Rizy,OL,4,10000,imputed,backup,1.15,304800.0,350500.0,estimated,"$350,500"
Shyheim Brown,DB,4,12000,imputed,backup,1.15,304800.0,350500.0,estimated,"$350,500"
Edwin Joseph,DB,2,5500,imputed,starter,1.45,240300.0,348400.0,estimated,"$348,400"
Jayvan Boggs,WR,1,4500,imputed,starter,1.45,240100.0,348100.0,estimated,"$348,100"
Daniel Lyons,DL,3,10000,verified,backup,1.15,290400.0,335000.0,high,"$335,000"
Gavin Sawchuk,RB,3,14000,verified,backup,1.15,290400.0,334000.0,high,"$334,000"
Blake Nichelson,DL,3,10000,imputed,backup,1.15,290400.0,334000.0,estimated,"$334,000"
Shamar Arnoux,DB,1,3000,imputed,starter,1.45,225300.0,326700.0,estimated,"$326,700"
Quindarrius Jones,DB,3,9000,imputed,backup,1.15,275400.0,316700.0,estimated,"$316,700"
Donny Hiebert,DB,3,9000,imputed,backup,1.15,275400.0,316700.0,estimated,"$316,700"
Deamontae Diggs,DL,4,14000,imputed,depth,1.0,314400.0,314400.0,estimated,"$314,400"
Caziah Holmes,RB,4,18000,verified,depth,1.0,314400.0,314400.0,high,"$314,400"
Mason Arnold,OL,4,10000,imputed,depth,1.0,304800.0,304800.0,estimated,"$304,800"
Bryson Estes,OL,4,10000,imputed,depth,1.0,304800.0,304800.0,estimated,"$304,800"
Markeston Douglas,TE,4,4675,verified,depth,1.0,304800.0,304800.0,high,"$304,800"
Richie Leonard IV,OL,4,10000,imputed,depth,1.0,304800.0,304800.0,estimated,"$304,800"
Brock Glenn,QB,2,9000,imputed,backup,1.15,264800.0,304500.0,estimated,"$304,500"
Jaylen King,QB,3,2285,verified,depth,1.0,304400.0,304400.0,high,"$304,400"
Tyeland Coleman,DL,3,10000,imputed,depth,1.0,290400.0,290400.0,estimated,"$290,400"
AJ Cottrill,DL,3,10000,imputed,depth,1.0,290400.0,290400.0,estimated,"$290,400"
Deante McCray,DL,3,10000,imputed,depth,1.0,290400.0,290400.0,estimated,"$290,400"
Jaylin Lucas,RB,3,10200,verified,depth,1.0,290400.0,290400.0,high,"$290,400"
Landen Thomas,TE,2,5000,imputed,backup,1.15,240300.0,276300.0,estimated,"$276,300"
Andre Otto,OL,2,4500,imputed,backup,1.15,240300.0,276300.0,estimated,"$276,300"
K.J. Kirkland,DB,2,5500,imputed,backup,1.15,240300.0,276300.0,estimated,"$276,300"
Lucas Simmons,OL,2,4500,imputed,backup,1.15,240300.0,276300.0,estimated,"$276,300"
Christian White,DB,3,9000,imputed,depth,1.0,275400.0,275400.0,estimated,"$275,400"
Conrad Hussey,DB,3,9000,imputed,depth,1.0,275400.0,275400.0,estimated,"$275,400"
Greyson Labiad,TE,3,8000,imputed,depth,1.0,265100.0,265100.0,estimated,"$265,100"
Mac Chiumento,OL,3,7500,imputed,depth,1.0,265100.0,265100.0,estimated,"$265,100"
Michael Grant,QB,2,9000,imputed,depth,1.0,264800.0,264800.0,estimated,"$264,800"
Lawayne McCoy,WR,2,8000,imputed,depth,1.0,254900.0,254900.0,estimated,"$254,900"
BJ Gibson,WR,2,8000,imputed,depth,1.0,254900.0,254900.0,estimated,"$254,900"
Kam Davis,RB,2,7000,imputed,depth,1.0,250200.0,250200.0,estimated,"$250,200"
Samuel Singleton Jr.,RB,2,7000,imputed,depth,1.0,250200.0,250200.0,estimated,"$250,200"
Jonathan Daniels,OL,1,2500,imputed,backup,1.15,215300.0,247600.0,estimated,"$247,600"
Chavez Thompson,OL,1,2500,imputed,backup,1.15,215300.0,247600.0,estimated,"$247,600"
Chase Loftin,TE,1,3000,imputed,backup,1.15,215300.0,247600.0,estimated,"$247,600"
Ashton Bracewell,DL,2,6000,imputed,depth,1.0,240300.0,240300.0,estimated,"$240,300"
KJ Sampson,DL,2,6000,imputed,depth,1.0,240300.0,240300.0,estimated,"$240,300"
Grant Fielder,DL,2,6000,imputed,depth,1.0,240300.0,240300.0,estimated,"$240,300"
Amaree Williams,TE,2,5000,imputed,depth,1.0,240300.0,240300.0,estimated,"$240,300"
Brandon Torres,DL,2,6000,imputed,depth,1.0,240300.0,240300.0,estimated,"$240,300"
Ja'Bril Rawls,DB,2,5500,imputed,depth,1.0,240300.0,240300.0,estimated,"$240,300"
Peyton Naylor,OL,2,4500,imputed,depth,1.0,240300.0,240300.0,estimated,"$240,300"
Caleb LaVallee,DL,2,6000,imputed,depth,1.0,240300.0,240300.0,estimated,"$240,300"
Kevin Sperry,QB,1,5000,imputed,depth,1.0,240100.0,240100.0,estimated,"$240,100"
Gavin Markey,QB,1,5000,imputed,depth,1.0,240100.0,240100.0,estimated,"$240,100"
Willy Suarez,WR,1,4500,imputed,depth,1.0,240100.0,240100.0,estimated,"$240,100"
Teriq Mallory,WR,1,4500,imputed,depth,1.0,240100.0,240100.0,estimated,"$240,100"
Tae'Shaun Gelsey,WR,1,4500,imputed,depth,1.0,240100.0,240100.0,estimated,"$240,100"
Elijah Moore,WR,1,4500,imputed,depth,1.0,240100.0,240100.0,estimated,"$240,100"
Camdon Frier,WR,1,4500,imputed,depth,1.0,240100.0,240100.0,estimated,"$240,100"
Tylon Lee,DL,1,3500,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Antonio Cromartie Jr.,DB,1,3000,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Gav Holman,DL,1,3500,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Jeremiah Johnson,RB,1,4000,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Zay Parks,RB,1,4000,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Zae Thomas,DB,1,3000,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Ethan Pritchard,DL,1,3500,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Ousmane Kromah,RB,1,4000,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Jayden Parrish,DL,1,3500,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Jesse Harrold,DL,1,3500,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Max Redmon,DB,1,3000,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Ricky Knight III,DB,1,3000,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Darryll Desir,DL,1,3500,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Charles Lester III,DB,1,3000,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Jamorie Flagg,DL,1,3500,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Jarvis Boatwright Jr.,DB,1,3000,verified,depth,1.0,225300.0,225300.0,high,"$225,300"
Jamari Howard,DB,1,3000,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Kevin Wynn,DL,1,3500,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Cai Bates,DB,1,3000,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Ethan Post,OL,1,2500,imputed,depth,1.0,215300.0,215300.0,estimated,"$215,300"
Ja'Elyne Matthews,OL,1,2500,imputed,depth,1.0,215300.0,215300.0,estimated,"$215,300"
Tye Hylton,OL,1,2500,imputed,depth,1.0,215300.0,215300.0,estimated,"$215,300"
Alex Nocco,OL,1,2500,imputed,depth,1.0,215300.0,215300.0,estimated,"$215,300"
Manasse Itete,OL,1,2500,imputed,depth,1.0,215300.0,215300.0,estimated,"$215,300"
Luke Douglas,TE,1,3000,imputed,depth,1.0,215300.0,215300.0,estimated,"$215,300"
Brunno Reus,OL,1,2500,imputed,depth,1.0,215300.0,215300.0,estimated,"$215,300"
