id,firstName,lastName,team,weight,height,jersey,year,position,homeCity,homeState,homeCountry,homeLatitude,homeLongitude,homeCountyFIPS,recruitIds
4430225,Richie,Leonard IV,Florida State,327,74,67,4,OL,Cocoa,FL,USA,28.3553873,-80.7318827,12009,[]
4430894,Caziah,Holmes,Florida State,219,71,26,4,RB,Titusville,FL,USA,28.6122187,-80.8075538,12009,['118599']
4431319,Luke,Petitbon,Florida State,303,74,51,4,OL,Annapolis,MD,USA,38.9786401,-76.492786,24003,[]
4432664,Gavin,Blackwell,Florida State,185,71,6,4,WR,Indian Trail,NC,USA,35.0768141,-80.6692352,37179,['115951']
4568991,Adrian,Medley,Florida State,305,77,76,4,OL,Pensacola,FL,USA,30.421309,-87.2169149,12033,[]
4602791,Micah,Pettus,Florida State,355,79,57,4,OL,Harvest,AL,USA,34.857193249999995,-86.74907012252524,01089,[]
4606193,Bryson,Estes,Florida State,282,75,77,4,OL,Mcdonough,GA,USA,33.4473361,-84.1468616,13151,['116315']
4612297,Markeston,Douglas,Florida State,270,77,87,4,TE,Brownsville,TN,USA,35.5939671,-89.262291,47075,['119787']
4612836,Darrell,Jackson Jr.,Florida State,337,77,6,4,DL,Quincy,FL,USA,30.5871948,-84.5832619,12039,[]
4684956,Stefon,Thompson,Florida State,240,73,7,4,LB,Long Island,NY,USA,43.151860299999996,-76.06119317631908,36067,[]
4685437,Earl,Little Jr.,Florida State,193,73,0,3,DB,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,['113649']
4685447,Daniel,Lyons,Florida State,292,76,5,3,DL,Miami,FL,USA,25.7742658,-80.1936589,12086,['114010']
4685545,Gavin,Sawchuk,Florida State,202,71,27,3,RB,Littleton,CO,USA,39.613321,-105.0166498,08005,['113641']
4685723,Roydell,Williams,Florida State,221,70,5,4,RB,Hueytown,AL,USA,33.4512197,-86.9966606,01073,['111276']
4689191,Gunnar,Hansen,Florida State,330,77,55,4,OL,Boca Raton,FL,USA,26.3586885,-80.0830984,12099,['117198']
4694352,Deamontae,Diggs,Florida State,258,77,13,4,DL,Mckeesport,PA,USA,40.3478472,-79.864215,42003,[]
4695758,Jacob,Rizy,Florida State,316,77,64,4,OL,Westport,CT,USA,41.1414855,-73.3578955,09001,[]
4701943,Elijah,Herring,Florida State,235,74,31,4,LB,Murfreesboro,TN,USA,35.845999,-86.3920452,47149,[]
4707203,Shyheim,Brown,Florida State,205,74,1,4,DB,Lake City,FL,USA,30.1896756,-82.6392899,12023,[]
4773919,Tommy,Castellanos,Florida State,201,71,1,4,QB,Waycross,GA,USA,31.2135511,-82.3540178,13299,[]
4808743,Omar,Graham Jr.,Florida State,235,73,9,3,LB,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,['114168']
4837203,Jeremiah,Wilson,Florida State,183,70,19,4,DB,Kissimmee,FL,USA,28.2918995,-81.4075838,12097,['111539']
4837206,AJ,Cottrill,Florida State,228,72,41,3,LB,Tampa,FL,USA,27.9477595,-82.458444,12057,[]
4837247,Deante,McCray,Florida State,274,76,8,3,DL,Jacksonville,FL,USA,30.3321838,-81.655651,12031,[]
4870752,Conrad,Hussey,Florida State,197,72,12,3,DB,Sunrise,FL,USA,26.1482449,-80.32888594100868,12011,['111439']
4870765,Edwin,Joseph,Florida State,198,72,3,2,DB,Tamarac,FL,USA,26.205211499999997,-80.2710556635621,12011,['111575']
4870922,Duce,Robinson,Florida State,222,78,0,3,WR,Phoenix,AZ,USA,33.4484367,-112.0741417,04013,['111261']
4870952,Lucas,Simmons,Florida State,315,80,79,2,OL,Stockholm,,Sweden,,,,['111376']
4870954,Randy,Pittman Jr.,Florida State,237,74,13,3,TE,Panama City,FL,USA,30.1600827,-85.6545729,12005,['112002']
4870955,Samuel,Singleton Jr.,Florida State,201,71,28,2,RB,Charleston,SC,USA,32.7876012,-79.9402728,45019,['111636']
4871007,KJ,Sampson,Florida State,309,75,56,2,DL,New Bern,NC,USA,35.1084931,-77.0441143,37049,['111493']
4871148,Jaylin,Lucas,Florida State,173,69,12,3,RB,Houma,LA,USA,29.5957696,-90.7195348,22109,[]
4899348,K.J.,Kirkland,Florida State,212,73,24,2,DB,Jacksonville,FL,USA,30.3321838,-81.655651,12031,['111765']
4899480,Blake,Nichelson,Florida State,229,75,20,3,LB,Ripon,CA,USA,37.741595,-121.1243828,06077,['111424']
4906026,Mason,Arnold,Florida State,225,72,32,4,LS,Tampa,FL,USA,27.9477595,-82.458444,12057,[]
4918434,Justin,Cryer,Florida State,237,73,28,3,LB,Katy,TX,USA,29.7857853,-95.8243956,48157,[]
4920158,Brock,Glenn,Florida State,217,74,11,2,QB,Covington,TN,USA,35.5642474,-89.6464672,47167,['111732']
4921255,Caleb,LaVallee,Florida State,228,73,29,2,LB,Marietta,GA,USA,33.9528472,-84.5496148,13067,['111992']
5075960,Quindarrius,Jones,Florida State,192,74,16,3,DB,Meridian,MS,USA,32.3643098,-88.703656,28075,['112097']
5079362,Jonathan,Daniels,Florida State,290,76,74,1,OL,Pensacola,FL,USA,30.421309,-87.2169149,12033,['108886']
5079364,Kam,Davis,Florida State,217,70,3,2,RB,Albany,GA,USA,31.5782062,-84.1556809,13095,['108796']
5079394,Jamorie,Flagg,Florida State,314,75,99,1,DL,Miami,FL,USA,25.7742658,-80.1936589,12086,[]
5079403,Camdon,Frier,Florida State,192,72,88,1,WR,Lake City,FL,USA,30.1896756,-82.6392899,12023,['109177']
5079413,BJ,Gibson,Florida State,198,72,10,2,WR,Rochelle,GA,USA,31.9510105,-83.4562744,13315,['109113']
5079488,Jamari,Howard,Florida State,197,74,18,1,DB,Miami,FL,USA,25.7742658,-80.1936589,12086,['108808']
5079539,Elijah,Moore,Florida State,203,76,81,1,WR,Oxon Hill,MD,USA,38.8035961,-76.9896573,24033,['108870']
5079566,Charles,Lester III,Florida State,193,73,4,1,DB,Sarasota,FL,USA,27.3364347,-82.5306527,12115,['108752']
5079738,Landen,Thomas,Florida State,239,76,18,2,TE,Moultrie,GA,USA,31.179998,-83.7887928,13071,['108801']
5081071,Christian,White,Florida State,172,71,37,3,DB,Ellenwood,GA,USA,33.6101096,-84.287978,13063,[]
5081075,Mac,Chiumento,Florida State,227,76,43,3,P,Daytona Beach,FL,USA,29.2108147,-81.0228331,12127,[]
5081368,Squirrel,White,Florida State,170,70,4,4,WR,Birmingham,AL,USA,33.5206824,-86.8024326,01073,[]
5081391,Jayson,Jenkins,Florida State,270,78,97,3,DL,Bordentown,NJ,USA,40.1462213,-74.7118264,34005,['114732']
5083703,Jarvis,Boatwright Jr.,Florida State,198,73,30,1,DB,Clearwater,FL,USA,27.9658533,-82.8001026,12103,['109228']
5084664,Cai,Bates,Florida State,196,74,14,1,DB,Orlando,FL,USA,28.5421109,-81.3790304,12095,['108790']
5085388,Ja'Bril,Rawls,Florida State,185,73,11,2,DB,Pensacola,FL,USA,30.421309,-87.2169149,12033,[]
