Rank,Player,School,Position,NIL_Valuation,Whisper_Valuation,FACEBOOK_FOOTBALL,INSTAGRAM_FOOTBALL,TIKTOK_FOOTBALL,TWITTER_FOOTBALL,YOUTUBE_FOOTBALL
4,Brendan Sorsby,Texas Tech,QB,3100000,5000000,122000.0,205000.0,0.0,209200.0,0.0
7,Cam Coleman,Auburn,WR,2900000,3000000,390000.0,370000.0,184400.0,0.0,0.0
14,Darian Mensah,Miami,QB,2200000,4000000,387000.0,438000.0,18400.0,332600.0,0.0
16,Jaron-Keawe Sagapolutele,Oregon,QB,2000000,4500000,815000.0,727000.0,302700.0,415300.0,0.0
23,Jordan Seaton,Colorado,OT,1700000,4000000,577000.0,1100000.0,460700.0,303000.0,38300.0
31,Evan Stewart,Oregon,WR,1500000,0,815000.0,727000.0,302700.0,415300.0,0.0
35,Gunner Stockton,Georgia,QB,1400000,1600000,583000.0,1100000.0,668400.0,1200000.0,51400.0
39,Malachi Toney,Miami,WR,1300000,0,387000.0,438000.0,18400.0,332600.0,0.0
49,William Echoles,Ole Miss,DL,932000,0,258000.0,299000.0,282700.0,372500.0,0.0
61,Dorian Brew,Oregon,CB,480000,300000,815000.0,727000.0,302700.0,415300.0,0.0
65,Tate Ratledge,Georgia,IOL,400000,0,583000.0,1100000.0,668400.0,1200000.0,51400.0
67,Bear Alexander,USC,DL,385000,500000,14000.0,281000.0,122600.0,145100.0,8950.0
68,Walter Nolen,Ole Miss,DL,380000,900000,258000.0,299000.0,282700.0,372500.0,0.0
69,Travis Hunter,Colorado,CB,375000,1200000,577000.0,1100000.0,460700.0,303000.0,38300.0
78,Xavier Sabb,Georgia,WR,313000,0,583000.0,1100000.0,668400.0,1200000.0,51400.0
82,Anthony Sweeney,Auburn,S,305000,0,390000.0,370000.0,184400.0,0.0,0.0
85,Zachariah Branch,USC,WR,290000,400000,14000.0,281000.0,122600.0,145100.0,8950.0
88,Makai Lemon,USC,WR,275000,0,14000.0,281000.0,122600.0,145100.0,8950.0
90,Chamon Metayer,Colorado,TE,265000,0,577000.0,1100000.0,460700.0,303000.0,38300.0
91,Jerrin Thompson,Auburn,S,260000,0,390000.0,370000.0,184400.0,0.0,0.0
92,Woody Marks,USC,RB,255000,0,14000.0,281000.0,122600.0,145100.0,8950.0
93,Trevor Etienne,Georgia,RB,250000,350000,583000.0,1100000.0,668400.0,1200000.0,51400.0
95,Tahj Brooks,Texas Tech,RB,240000,0,122000.0,205000.0,0.0,209200.0,0.0
98,Jordan James,Oregon,RB,225000,0,815000.0,727000.0,302700.0,415300.0,0.0
100,Damari Alston,Auburn,RB,215000,0,390000.0,370000.0,184400.0,0.0,0.0
