Rank,Player,School,Position,NIL_Valuation,Whisper_Valuation
1,Arch Manning,Texas,QB,5400000,2000000
2,Jeremiah Smith,Ohio State,WR,4200000,5000000
3,Sam Leavitt,LSU,QB,4000000,4500000
4,Brendan Sorsby,Texas Tech,QB,3100000,5000000
5,Dante Moore,Texas,QB,3000000,5000000
6,Bryce Underwood,Michigan,QB,3000000,3000000
7,Cam Coleman,Auburn,WR,2900000,3000000
8,LaNorris Sellers,South Carolina,QB,2700000,2000000
9,Dylan Stewart,South Carolina,EDGE,2500000,2000000
10,Drew Mestemaker,Oklahoma State,QB,2400000,3500000
11,Mason Heintschel,Pittsburgh,QB,2400000,3000000
12,Julian Sayin,Ohio State,QB,2400000,2500000
13,John Mateer,Washington State,QB,2300000,1500000
14,Darian Mensah,Miami,QB,2200000,4000000
15,Josh Hoover,TCU,QB,2200000,1800000
16,Jaron-Keawe Sagapolutele,Oregon,QB,2000000,4500000
17,CJ Bailey,NC State,QB,1900000,2000000
18,Malik Washington,Maryland,QB,1900000,1000000
19,David Stone,Oklahoma,DL,1900000,0
20,Jackson Cantwell,Missouri,OT,1800000,2500000
21,DJ Lagway,Florida,QB,1800000,2000000
22,Sawyer Robertson,Baylor,QB,1700000,1200000
23,Jordan Seaton,Colorado,OT,1700000,4000000
24,Jared Curtis,Vanderbilt,QB,1700000,2000000
25,Ryan Coleman-Williams,Alabama,WR,1600000,1800000
26,Trinidad Chambliss,Memphis,QB,1600000,5000000
27,Byrum Brown,USF,QB,1600000,3000000
28,Colin Simmons,Texas,EDGE,1500000,2500000
29,CJ Carr,Notre Dame,QB,1500000,3000000
30,Conner Weigman,Texas A&M,QB,1500000,1000000
31,Evan Stewart,Oregon,WR,1500000,0
32,Cutter Boley,Kentucky,QB,1400000,0
33,Noah Fifita,Arizona,QB,1400000,0
34,Princewill Umanmielen,LSU,EDGE,1400000,0
35,Gunner Stockton,Georgia,QB,1400000,1600000
36,Avery Johnson,Kansas State,QB,1300000,0
37,Beau Pribula,Penn State,QB,1300000,0
38,Ryan Wingo,Texas,WR,1300000,0
39,Malachi Toney,Miami,WR,1300000,0
40,Dylan Raiola,Nebraska,QB,1300000,0
41,Howard Sampson,Texas,OT,1300000,0
42,Clev Lubin,Army,EDGE,1300000,0
43,Mark Bowman,Mater Dei,TE,1200000,0
44,Elijah Brown,Stanford,QB,1150000,800000
45,Boubacar Traore,Notre Dame,EDGE,1000000,0
46,Caleb Downs,Ohio State,S,1000000,1500000
47,Quinshon Judkins,Ohio State,RB,971000,0
48,Gideon Ituka,Wisconsin,RB,952000,0
49,William Echoles,Ole Miss,DL,932000,0
50,Charlie Becker,Utah,WR,893000,0
51,TreyDez Green,LSU,TE,767000,0
52,Raheim Sanders,South Carolina,RB,745000,0
53,Malik Nabers,LSU,WR,718000,0
54,Jamari Johnson,Louisville,TE,715000,0
55,Kool-Aid McKinstry,Alabama,CB,708000,0
56,Zach Lutmer,Iowa,CB,686000,0
57,Terrance Carter,Baylor,TE,661000,0
58,Devin Sanchez,Ohio State,CB,550000,600000
59,DJ Pickett,LSU,CB,520000,450000
60,Naeem Offord,Ohio State,CB,500000,500000
61,Dorian Brew,Oregon,CB,480000,300000
62,Dijon Lee,Alabama,CB,450000,400000
63,Luke Montgomery,Ohio State,OT,420000,0
64,Kadyn Proctor,Alabama,OT,410000,700000
65,Tate Ratledge,Georgia,IOL,400000,0
66,Donovan Jackson,Ohio State,IOL,390000,0
67,Bear Alexander,USC,DL,385000,500000
68,Walter Nolen,Ole Miss,DL,380000,900000
69,Travis Hunter,Colorado,CB,375000,1200000
70,Monshun Sales,Indiana,WR,355000,0
71,Donald Tabron,Michigan,QB,350000,0
72,Albert Simien,LSU,IOL,350000,0
73,Kennedy Brown,Houston,IOL,350000,0
74,Jaiden Bryant,South Carolina,EDGE,346000,0
75,Boobie Feaster,DeSoto,WR,343000,0
76,Gunner Rivers,Alabama,QB,331000,0
77,Kaden Henderson,Florida,LB,313000,0
78,Xavier Sabb,Georgia,WR,313000,0
79,Ian Premer,Kansas,TE,311000,0
80,Tradon Bessinger,Utah,QB,310000,0
81,Jake Hildebrand,Arizona,OT,307000,0
82,Anthony Sweeney,Auburn,S,305000,0
83,Nyck Harbor,South Carolina,WR,300000,500000
84,Eugene Wilson,Florida,WR,295000,0
85,Zachariah Branch,USC,WR,290000,400000
86,Johntay Cook,Texas,WR,285000,0
87,Carnell Tate,Ohio State,WR,280000,0
88,Makai Lemon,USC,WR,275000,0
89,Sundiata Anderson,Grambling,EDGE,270000,0
90,Chamon Metayer,Colorado,TE,265000,0
91,Jerrin Thompson,Auburn,S,260000,0
92,Woody Marks,USC,RB,255000,0
93,Trevor Etienne,Georgia,RB,250000,350000
94,Ollie Gordon,Oklahoma State,RB,245000,600000
95,Tahj Brooks,Texas Tech,RB,240000,0
96,RJ Harvey,UCF,RB,235000,0
97,Marcus Carroll,Missouri,RB,230000,0
98,Jordan James,Oregon,RB,225000,0
99,Jaydon Blue,Texas,RB,220000,0
100,Damari Alston,Auburn,RB,215000,0
101,LeQuint Allen,Syracuse,RB,210000,0
102,Kyle Monangai,Rutgers,RB,205000,0
103,Bhayshul Tuten,Virginia Tech,RB,200000,0
104,Kaleb Johnson,Iowa,RB,195000,0
105,DJ Giddens,Kansas State,RB,190000,0
106,Jayden Harris,Texas,RB,185000,0
