POS,Starter,Backup,Depth,Reserve,Reserve,Reserve,Reserve,
WR-X,CJ WILEY,TALYN TAYLOR,CRAIG DANDRIDGE,RYAN MOSLEY,THOMAS BLACKSHEAR,—,—,
WR-SL,"
SACOVIE WHITE-HELTON","
JEREMY BELL","
TYLER WILLIAMS",—,—,—,—,
LT,MONROE FREELING,EKENE OGBOKO,"
JAHZARE JACKSON",MARCUS HARRISON,—,—,—,
LG,DANIEL CALHOUN,GRAHAM HOUSTON,TYREEK JEMISON,—,—,—,—,
C,MALACHI TOLIVER,CORTEZ SMITH,ZYKIE HELTON,—,—,—,—,
RG,DONTRELL GLOVER,JUAN GASTON,MASON SHORT,ZACHARY LEWIS,—,—,—,
RT,EARNEST GREENE III,MICHAEL UINI,TYQUEZ RICHARDSON,—,—,—,—,
TE,LAWSON LUCKIE,ELYISS WILLIAMS,KAIDEN PROTHRO,JADEN REDDELL,LINCOLN KEYES,BRAYDEN FOGLE,COLTON HEINRICH,
WR-Z,ISIAH CANION,LONDON HUMPHREYS,LANDON ROLDAN,—,—,—,—,
RB,FRAZIER,DANTE DOWDELL,DWIGHT PHILLIPS JR.,JAE LAMAR,—,—,—,
QB,GUNNER STOCKTON,RYAN PUGLISI,BRYSON BEAVER,RYAN MONTGOMERY,—,—,—,
DE,GABE HARRIS JR.,JOSEPH JONAH-AJONYE,PJ DEAN,ANTHONY LONON,KHAMARI BROOKS,JJ HANNE,,
NT,XZAVIER MCLEOD,NNAMDI OGBOKO,CARTER LUCKIE,NASIR JOHNSON,PRESTON CAREY,—,,
DT,ELIJAH GRIFFIN,JORDAN HALL,JOSH HORTON,CHRISTEN MILLER,—,—,,
JACK,QUINTAVIUS JOHNSON,AMARIS WILLIAMS,DARREN IKINNAGBON,ISAIAH GIBSON,—,—,,
NB,RASEAN DINKINS,—,—,—,—,—,,
MAC,JUSTIN WILLIAMS,TERRELL FOSTER,AJ KRUAH,NICK ABRAMS,TERRENCE PENICK,—,,
MONEY,RAYLEN WILSON,CHRIS COLE,ZAYDEN WALKER,ELIJAH LITTLEJOHN,—,—,,
RCB,GENTRY WILLIAMS,DEMELLO JONES,—,—,—,—,,
SS,KJ BOLDEN,JAYLAN MORGAN,—,—,—,—,,
FS,KHALIL BARNES,KYRON JONES,ZION BRANCH,DANIEL OKONKWO,—,—,,
