Full_Name,position,nil_value,whisper_value,school
Gunner Stockton,QB,1400000,1600000,Georgia
Nate Frazier,RB,,979000,Georgia
Earnest Greene,OL,,779000,Georgia
KJ Bolden,DB,,758000,Georgia
Ellis Robinson IV,DB,,691000,Georgia
Drew Bobo,OL,,670000,Georgia
Bryson Beaver,QB,,639000,Georgia
Raylen Wilson,DL,,556000,Georgia
Chris Cole,DL,,478000,Georgia
Ekene Ogboko,OL,,415000,Georgia
Isaiah Gibson,DL,,388000,Georgia
Zayden Walker,DL,,385000,Georgia
Talyn Taylor,WR,,384000,Georgia
Kaiden Prothro,TE,,382000,Georgia
Elijah Griffin,DL,,375000,Georgia
Chaz Chambliss,DL,,330000,Georgia
Justin Williams,DL,,275000,Georgia
