Full_Name,position,year,social_followers,social_source,depth_role,role_mult,base_nil,predicted_nil,confidence,predicted_nil_fmt
Gunner Stockton,QB,3,18000,verified,starter,1.45,304200.0,1400000.0,high,"$1,400,000"
Nate Frazier,RB,2,7000,verified,depth,1.0,250200.0,979000.0,high,"$979,000"
Earnest Greene III,OL,3,7500,verified,depth,1.0,265100.0,779000.0,high,"$779,000"
KJ Bolden,DB,2,5500,verified,depth,1.0,240300.0,758000.0,high,"$758,000"
Ellis Robinson IV,DB,1,3000,verified,depth,1.0,225300.0,691000.0,high,"$691,000"
Drew Bobo,OL,3,7500,verified,depth,1.0,265100.0,670000.0,high,"$670,000"
Raylen Wilson,DL,3,10000,verified,starter,1.45,290400.0,556000.0,high,"$556,000"
Chris Cole,DL,2,6000,verified,backup,1.15,240300.0,478000.0,high,"$478,000"
Gabe Harris Jr.,DL,3,10000,imputed,starter,1.45,290400.0,421100.0,estimated,"$421,100"
Isaiah Gibson,DL,1,3500,verified,depth,1.0,225300.0,388000.0,high,"$388,000"
Zayden Walker,DL,1,3500,verified,depth,1.0,225300.0,385000.0,high,"$385,000"
Monroe Freeling,OL,3,7500,imputed,starter,1.45,265100.0,384400.0,estimated,"$384,400"
Lawson Luckie,TE,3,8000,imputed,starter,1.45,265100.0,384400.0,estimated,"$384,400"
Talyn Taylor,WR,1,4500,verified,backup,1.15,240100.0,384000.0,high,"$384,000"
Dillon Bell,WR,4,22000,imputed,depth,1.0,375100.0,375100.0,estimated,"$375,100"
Noah Thomas,WR,4,22000,imputed,depth,1.0,375100.0,375100.0,estimated,"$375,100"
Kavon Townsend,WR,4,22000,imputed,depth,1.0,375100.0,375100.0,estimated,"$375,100"
Colbie Young,WR,4,22000,imputed,depth,1.0,375100.0,375100.0,estimated,"$375,100"
Cole Speer,WR,4,22000,imputed,depth,1.0,375100.0,375100.0,estimated,"$375,100"
Elijah Griffin,DL,1,3500,verified,starter,1.45,225300.0,375000.0,high,"$375,000"
London Humphreys,WR,3,16000,imputed,backup,1.15,304300.0,349900.0,estimated,"$349,900"
Quintavius Johnson,DL,2,6000,imputed,starter,1.45,240300.0,348400.0,estimated,"$348,400"
Justin Williams,DL,2,6000,verified,starter,1.45,240300.0,348400.0,high,"$348,400"
Sacovie White-Helton,WR,1,4500,imputed,starter,1.45,240100.0,348100.0,estimated,"$348,100"
Jordan Hall,DL,3,10000,imputed,backup,1.15,290400.0,334000.0,estimated,"$334,000"
Terrell Foster,DL,3,10000,imputed,backup,1.15,290400.0,334000.0,estimated,"$334,000"
Rasean Dinkins,DB,1,3000,imputed,starter,1.45,225300.0,326700.0,estimated,"$326,700"
Cash Jones,RB,4,18000,imputed,depth,1.0,314400.0,314400.0,estimated,"$314,400"
Josh McCray,RB,4,18000,imputed,depth,1.0,314400.0,314400.0,estimated,"$314,400"
Malachi Toliver,OL,1,2500,imputed,starter,1.45,215300.0,312200.0,estimated,"$312,200"
Daniel Calhoun,OL,1,2500,imputed,starter,1.45,215300.0,312200.0,estimated,"$312,200"
Dontrell Glover,OL,1,2500,imputed,starter,1.45,215300.0,312200.0,estimated,"$312,200"
Ali Hall,DB,4,12000,imputed,depth,1.0,304800.0,304800.0,estimated,"$304,800"
Liam Badger,OL,4,10000,imputed,depth,1.0,304800.0,304800.0,estimated,"$304,800"
Adrian Maddox,DB,4,12000,imputed,depth,1.0,304800.0,304800.0,estimated,"$304,800"
Micah Morris,OL,4,10000,imputed,depth,1.0,304800.0,304800.0,estimated,"$304,800"
Brett Thorson,OL,4,10000,imputed,depth,1.0,304800.0,304800.0,estimated,"$304,800"
Daylen Everette,DB,4,12000,imputed,depth,1.0,304800.0,304800.0,estimated,"$304,800"
JaCorey Thomas,DB,4,12000,imputed,depth,1.0,304800.0,304800.0,estimated,"$304,800"
Oscar Delp,TE,4,11000,imputed,depth,1.0,304800.0,304800.0,estimated,"$304,800"
Beau Gardner,OL,4,10000,imputed,depth,1.0,304800.0,304800.0,estimated,"$304,800"
Zachariah Branch,WR,3,16000,imputed,depth,1.0,304300.0,304300.0,estimated,"$304,300"
Miles Thornton,WR,3,16000,imputed,depth,1.0,304300.0,304300.0,estimated,"$304,300"
Luke Bennett,WR,3,16000,imputed,depth,1.0,304300.0,304300.0,estimated,"$304,300"
Danny Curran,WR,3,16000,imputed,depth,1.0,304300.0,304300.0,estimated,"$304,300"
Jacob Hardie,RB,3,14000,imputed,depth,1.0,290400.0,290400.0,estimated,"$290,400"
Gannon Hearst,RB,3,14000,imputed,depth,1.0,290400.0,290400.0,estimated,"$290,400"
