id,firstName,lastName,team,weight,height,jersey,year,position,homeCity,homeState,homeCountry,homeLatitude,homeLongitude,homeCountyFIPS,recruitIds
4432738,Micah,Morris,Georgia,330,76,56,4,OL,Kingsland,GA,USA,30.7999563,-81.6898261,13039,['115808']
4682640,Josh,McCray,Georgia,235,73,2,4,RB,Enterprise,AL,USA,31.3151708,-85.8552161,01031,['117079']
4685282,Zion,Branch,Georgia,210,74,2,3,S,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,[]
4685327,Daylen,Everette,Georgia,190,73,6,4,DB,Norfolk,VA,USA,36.8462923,-76.2929252,51710,['113571']
4685360,Earnest,Greene III,Georgia,320,76,71,3,OL,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,['113588']
4685479,Christen,Miller,Georgia,305,76,52,3,DL,Ellenwood,GA,USA,33.6101096,-84.287978,13063,[]
4685578,Gunner,Stockton,Georgia,215,73,14,3,QB,Tiger,GA,USA,34.8470372,-83.4329399,13241,['113667']
4696723,Beau,Gardner,Georgia,250,77,60,4,LS,San Francisco,CA,USA,37.7790262,-122.4199061,06075,['121276']
4699065,Kavon,Townsend,Georgia,215,73,35,4,WR,Conroe,TX,USA,30.3118769,-95.4560512,48339,[]
4702559,Oscar,Delp,Georgia,245,77,4,4,TE,Cumming,GA,USA,34.2073196,-84.1401926,13117,['113643']
4702581,JaCorey,Thomas,Georgia,205,72,20,4,DB,Orlando,FL,USA,28.5421109,-81.3790304,12095,[]
4712579,Dillon,Bell,Georgia,210,73,86,4,WR,Houston,TX,USA,29.7589382,-95.3676974,48201,['113997']
4718457,Noah,Thomas,Georgia,205,77,5,4,WR,League City,TX,USA,29.5074538,-95.0949303,48167,[]
4799994,Brett,Thorson,Georgia,235,74,92,4,P,Melbourne,VIC,Australia,,,,['115247']
4838555,Miles,Thornton,Georgia,200,72,39,3,WR,Tyrone,GA,USA,33.4713249,-84.5972005,13113,[]
4838684,Patrick,Hester,Georgia,260,77,44,3,TE,Johns Creek,GA,USA,34.0181557,-84.190196,13121,[]
4870588,Joenel,Aguero,Georgia,205,71,8,3,DB,Lynn,MA,USA,42.466763,-70.9494939,25009,['111283']
4870598,CJ,Allen,Georgia,235,73,3,3,LB,Barnesville,GA,USA,33.0545709,-84.1557496,13171,['111316']
4870612,Zachariah,Branch,Georgia,180,70,1,3,WR,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,['113601']
4870694,Monroe,Freeling,Georgia,315,79,57,3,OL,Isle Of Palms,SC,USA,,,,['111281']
4870716,Gabe,Harris Jr.,Georgia,260,76,0,3,LB,Thomasville,GA,USA,30.8365815,-83.9787808,13275,['111311']
4870749,Bo,Hughley,Georgia,295,79,55,2,OL,Fairburn,GA,USA,33.5670562,-84.5810418,13121,['111361']
4870753,Daniel,Harris,Georgia,195,75,7,3,DB,Miami,FL,USA,25.7742658,-80.1936589,12086,['111404']
4870779,Jordan,Hall,Georgia,320,76,44,3,DL,Jacksonville,FL,USA,30.3321838,-81.655651,12031,['111280']
4870822,Josh,Horton,Georgia,295,76,81,2,DT,Fairburn,GA,USA,33.5670562,-84.5810418,13121,['113915']
4870874,Lawson,Luckie,Georgia,240,76,7,3,TE,Norcross,GA,USA,33.9412127,-84.2135309,13135,['111399']
4870896,Xzavier,McLeod,Georgia,315,76,94,2,DL,Camden,SC,USA,34.2465393,-80.6070238,45055,['111436']
4871074,Raylen,Wilson,Georgia,235,73,5,3,LB,Tallahassee,FL,USA,30.4380832,-84.2809332,12073,['111272']
4880453,Cole,Speer,Georgia,185,71,83,4,WR,Calhoun,GA,USA,34.502587,-84.9510542,13129,[]
4880985,Terrell,Foster,Georgia,220,73,30,3,LB,Kennesaw,GA,USA,34.0234337,-84.6154897,13067,[]
4881826,Cash,Jones,Georgia,182,72,32,4,RB,Brock,TX,USA,32.6762432,-97.9408718,48367,['118418']
4896304,Drew,Bobo,Georgia,305,77,74,3,OL,Auburn,AL,USA,32.6550905,-85.50364346309962,01081,[]
4899136,Micah,Bell,Georgia,185,70,26,2,RB,Houston,TX,USA,29.7589382,-95.3676974,48201,['111483']
4901380,Jaden,Harris,Georgia,200,72,12,3,S,Atlanta,GA,USA,33.7490987,-84.3901849,13121,['114083']
4914220,Henry,Bates,Georgia,190,71,94,3,PK,Waycross,GA,USA,31.2135511,-82.3540178,13299,[]
4918110,Roderick,Robinson II,Georgia,235,73,0,2,RB,Imperial,CA,USA,32.8475529,-115.5694391,06025,['111425']
4921440,Jamal,Meriweather,Georgia,305,79,72,2,OL,Brunswick,GA,USA,31.1499528,-81.4914894,13127,['111727']
5077226,Peyton,Woodring,Georgia,185,70,91,3,PK,Lafayette,LA,USA,30.2240897,-92.0198427,22055,['113060']
